label,qname,qdcount,ancount,arcount,nscount,qd_qname_len,qd_qname_shannon,qd_qtype,an_rrname_len,an_rrname_shannon,an_type,an_ttl,an_rdata_len,an_rdata_shannon,ar_rrname_len,ar_rrname_shanonn,ar_type,ar_rdata_len,ar_rdata_shannon
0,admin.burnerapp.com.,1,0,1,0,20,3.5841837197791886,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,drive.lowermoutere.school.nz.,1,0,1,0,29,3.797467632984005,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,rp-artisans.org.,1,0,1,0,16,3.327819531114783,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.trine.com.,1,0,1,0,14,3.128085278891395,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.revolutionrecruitment.net.,1,0,1,0,30,3.5395722619867227,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,api.goat.me.,1,0,1,0,12,3.0220552088742,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ftp.fuze.me.,1,0,1,0,12,2.8553885422075336,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,mail.labellacoppia.com.,1,0,1,0,23,3.18639293422382,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.santfructuos.tk.,1,0,1,0,20,3.408694969562841,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.marinecorpstimes.com.,1,0,1,0,25,3.5932696895151084,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ghs-svc-https-c1120.ghs-ssl.googlehosted.com.,1,0,1,0,45,3.821602886135672,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.freecancerservices.org.,1,0,1,0,27,3.4262096139809786,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.able-austin.com.,1,0,1,0,20,3.746439344671016,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.babolnasped.hu.,1,0,1,0,20,3.6464393446710153,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cargocultrecords.googlepages.com.,1,0,1,0,33,3.5936576653909618,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.simpsystems.com.,1,0,1,0,20,3.208694969562841,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,histology.med.umich.edu.,1,0,1,0,24,3.6682958340544896,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.syndeotech.com.,1,0,1,0,20,3.6841837197791887,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.hotellasdunasnoja.com.,1,0,1,0,26,3.7381493331928666,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.egvan.com.,1,0,1,0,14,3.128085278891395,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,brti-brturbo-smtp.google.com.,1,0,1,0,29,3.7193758224153695,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.futureclassnet.org.,1,0,1,0,24,3.803508854797679,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.logrustics.com.,1,0,1,0,19,3.4316235658474312,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.davidhaila.com.,1,0,1,0,19,3.2866294867861963,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.theamazingcollection.com.,1,0,1,0,30,3.5974168451037087,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,test.diamond-production.net.,1,0,1,0,28,3.6995138503199656,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,ixl.com.,1,0,1,0,8,2.75,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,justforhearts.agilecrm.com.,1,0,1,0,27,3.884155094595803,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,allstate.com.,1,0,1,0,13,3.085055102756477,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,cy-pr.com.,1,0,1,0,10,2.9219280948873623,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,dtinews.vn.,1,0,1,0,11,3.0957952550009336,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.kowsarkhan.com.,1,0,1,0,19,3.2608281712244565,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,2.75
0,dev.twit.tv.,1,0,1,0,12,2.6258145836939115,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,newhorizonsbookshop.googlepages.com.,1,0,1,0,36,3.8082708345352594,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.outdoorsafety.org.,1,0,1,0,22,3.481714572986073,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.holyaffair.com.,1,0,1,0,20,3.346439344671015,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.groundhog-earthmatters.ca.,1,0,1,0,31,3.913400745661377,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.hcgltd.co.nz.,1,0,1,0,18,3.5032583347756465,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.vibhus.com.,1,0,1,0,16,3.452819531114783,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.ebrandz.com.,1,0,1,0,17,3.5724694587701364,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.learnaveda.com.,1,0,1,0,19,3.391892644680933,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,curriculum.d428.org.,1,0,1,0,20,3.5086949695628418,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,exchange.thosegarageguys.com.,1,0,1,0,29,3.702471512219747,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.dwaynespencer.com.,1,0,1,0,22,3.481714572986072,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,jetdrive.googlepages.com.,1,0,1,0,25,3.753269689515108,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,pandasecurity.com.,1,0,1,0,18,3.836591668108978,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,barclaycardus.com.,1,0,1,0,18,3.4193819456463714,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,m.simplilearn.com.,1,0,1,0,18,3.4193819456463714,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,mail.zelenyuk.com.,1,0,1,0,18,3.5724312513221195,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
0,www.hidemo.com.,1,0,1,0,15,3.0062389286533904,1,0,0.0,0,0,0,0.0,1,-0.0,41,8,3.0
